ID,X,Y
282,"[0, 1, 0.13232129410515636, 0]",1
283,"[0, 1, 0.023265490427912747, 0]",1
284,"[0, 2, 0.022724987298684583, 0]",1
285,"[1, 2, 0.0418420830323032, 0]",0
286,"[0, 2, 0.14453057829013682, 0]",1
287,"[0, 1, 0.06897633750697947, 0]",1
288,"[0, 2, 0.0203920763517012, 0]",1
289,"[1, 1, 0.05411026900850887, 0]",1
290,"[0, 1, 0.06246664194611583, 1]",1
291,"[0, 3, 0.06846886314376888, 0]",1
292,"[0, 1, 0.03296835785527779, 0]",1
293,"[1, 1, 0.08711313891848825, 0]",1
294,"[0, 2, 0.11816324284181483, 1]",1
295,"[1, 1, 0.05923693446457202, 0]",1
296,"[0, 1, 0.029735122270821656, 1]",1
297,"[0, 1, 0.08524219337058109, 1]",1
298,"[1, 3, 0.09877475338773214, 0]",0
299,"[1, 3, 0.01190762837282937, 0]",0
300,"[0, 1, 0.0398098391766507, 0]",0
301,"[0, 3, 0.0058158879890460044, 0]",0
302,"[0, 3, 0.0752277895779142, 1]",1
303,"[1, 2, 0.012929742396248198, 0]",0
304,"[1, 1, 0.00921053284152047, 0]",0
305,"[0, 1, 0.07257610977913713, 0]",1
306,"[0, 1, 0.024824086572887337, 0]",1
307,"[1, 2, 0.029316458137385443, 0]",1
308,"[1, 1, 0.02847993664551499, 0]",0
309,"[1, 1, 0.05590750458130156, 0]",0
310,"[0, 1, 0.029959245210317363, 1]",1
311,"[0, 1, 0.05629463793110943, 0]",1
312,"[0, 1, 0.03542040280728197, 1]",1
313,"[0, 3, 0.11549578224690718, 1]",1
314,"[0, 1, 0.1610251214610986, 1]",1
315,"[1, 1, 0.0632651504057004, 0]",1
316,"[0, 2, 0.02944462403853848, 0]",1
317,"[0, 3, 0.0367393899795833, 0]",0
318,"[1, 2, 0.05684207506275152, 0]",0
319,"[0, 3, 0.07371951038255165, 0]",1
320,"[0, 1, 0.1004736465694489, 0]",1
321,"[1, 1, 0.04496462654217657, 0]",0
322,"[0, 2, 0.008860676406840677, 0]",0
323,"[1, 3, 0.038134556687668734, 0]",0
324,"[0, 2, 0.12838065776026994, 0]",1
325,"[0, 2, 0.0830322662131099, 0]",1
326,"[0, 1, 0.0192778498853468, 1]",1
327,"[1, 2, 0.06181290929198182, 0]",0
328,"[1, 3, 0.04303757111894044, 0]",0
329,"[0, 1, 0.013802153268094164, 1]",1
330,"[1, 2, 0.01741404611749035, 0]",0
331,"[0, 1, 0.02069081906226477, 0]",1
332,"[0, 1, 0.023914621999173057, 0]",0
333,"[0, 3, 0.028063770174931023, 0]",0
334,"[0, 1, 0.09710394800710315, 0]",1
335,"[0, 2, 0.07670799658269933, 0]",1
336,"[0, 1, 0.06925586157070873, 1]",0
337,"[1, 2, 0.04960359141345858, 0]",1
338,"[1, 3, 0.028096776950900824, 0]",0
339,"[0, 1, 0.018008372070605398, 0]",1
340,"[1, 2, 0.04090560173734091, 0]",0
341,"[0, 1, 0.04302083153294476, 1]",1
